GAZOLE;BASSENS - Rue Camille Jullian;Système U;1,772 €/l
GAZOLE;BÈGLES - Rue M. Martin;Leclerc;1,779 €/l
SP98;BÈGLES - Rue M. Martin;Leclerc;1,689 €/l
SP98;ST-MÉDARD-EN-J. - Av. Descartes;Leclerc;1,724 €/l
SP95-E10;BASSENS - Rue Camille Jullian;Système U;1,598 €/l
SP95-E10;BORDEAUX - Cours Saint-Louis;Leclerc;1,699 €/l
SP95;BORDEAUX - Cours Saint-Louis;Leclerc;1,659 €/l
SP95;BÈGLES - Rue M. Martin;Leclerc;1,690 €/l
E85;BASSENS - Rue Camille Jullian;Système U;0,850 €/l
GPLC;BORDEAUX - Av. des 40 journaux;Auchan;0,765 €/l
