GAZOLE;ASTAFFORT - Lot. La Tuine;Intermarché Contact;1,746 €/l
GAZOLE;LAYRAC - La Tuilerie;Carrefour Contact;1,769 €/l
SP98;ASTAFFORT - Lot. La Tuine;Intermarché Contact;1,684 €/l
SP98;LAYRAC - La Tuilerie;Carrefour Contact;1,729 €/l
SP95-E10;ASTAFFORT - Lot. La Tuine;Intermarché Contact;1,604 €/l
SP95-E10;AGEN - Av. Léon Blum;Netto;1,759 €/l
SP95;LAYRAC - La Tuilerie;Carrefour Contact;1,699 €/l
SP95;LAYRAC - Bouheballe;Elan;1,729 €/l
E85;AGEN - Av. Léon Blum;Netto;0,869 €/l
GPLC;AGEN - ZAC Agen Sud;Intermarché;0,890 €/l
