GAZOLE;TONNEINS - Av. Beauregard;Intermarché;1,729 €/l
GAZOLE;TONNEINS - Av. P. Mendès-France;Leclerc;1,740 €/l
SP98;TONNEINS - Rue Mendès-France;Total Access;1,650 €/l
SP98;STE-BAZEILLE - RD 813;Système U;1,669 €/l
SP95-E10;STE-BAZEILLE - RD 813;Système U;1,576 €/l
SP95-E10;MARMANDE - Rte de Bordeaux;Leclerc;1,576 €/l
SP95;MARMANDE - Av. H. Ruffe;Carrefour Market;1,620 €/l
SP95;MARMANDE - Rte de Bordeaux;Leclerc;1,620 €/l
E85;STE-BAZEILLE - RD 813;Système U;0,890 €/l
GPLC;LE MAS-D'AGENAIS - A62 - Aire Mas-d'A.;;0,929 €/l
