GAZOLE,JURANÇON - Av. Henri IV,Total Access,"1,637 €/l"
GAZOLE,JURANÇON - Av. Henri IV,Total,"1,642 €/l"
SP98,PAU - Av. J. Mermoz,Total Access,"1,629 €/l"
SP98,LESCAR - Rte de Bayonne,Carrefour,"1,640 €/l"
SP95-E10,JURANÇON - Av. Henri IV,Total Access,"1,548 €/l"
SP95-E10,PAU - Av. J. Mermoz,Total Access,"1,549 €/l"
SP95,MAZ.-LEZONS - Av. du Gén. de G.,Leclerc,"1,618 €/l"
SP95,LESCAR - Rte de Bayonne,Carrefour,"1,630 €/l"
E85,BILLÈRE - Rte de Bayonne,Intermarché,"0,889 €/l"
GPLC,MAZ.-LEZONS - Av. du Gén. de G.,Leclerc,"0,790 €/l"
